Date,Open,High,Low,Close,Volume,diff,label,direction,veder_neg,veder_pos,veder_neu,veder_compound,tw_direction,roberta_large_score,roberta_large_scores,count,texts,d_veder_compound,d_roberta_large_score,d_tw_direction
2015-01-05,52.61000061035156,52.72999954223633,49.68000030517578,50.040000915527344,375782,2.5699996948242188,0,-1,0.0577499999999999,0.101,0.841,0.125225,0.0,-0.995793282975,[-0.99604476 -0.99746573 -0.9920311  -0.99763155],4.0,"['brent oil price falls below $55 for first time in 5 1/2 yrs | '
 'rt : biggest bust since great recession tests us quest for energy independence by '
 'and now for the u.s. oil benchmark -- wti below $50 for first time since april 2009'
 ""if you want nuclear power, you'll have to pay for it | by &amp; $exc $etr $fe""]",1.0,-1.0,1.0
2015-01-06,50.0,50.369998931884766,47.54999923706055,47.93000030517578,451642,2.0699996948242188,0,-1,0.0829999999999999,0.071,0.8461428571428572,0.0075428571428571,-1.0,-0.4439506105,"[-0.99676502 -0.99883133 -0.99946731  0.99180156 -0.99737072  0.88641369
 -0.99343514]",7.0,"['second-worst oil slump since 1983 triggers biggest rig drop since 2009; tough year ahead &amp; '
 'oilfield writedowns loom as slump guts drilling values by &amp; '
 'natural gas proves no savior for investors seeking refuge from the oil-slump storm by '
 'amid oil plunge, pipeline hit a record | '
 'when a $1bln divorce is both too much and too little | $clr '
 'more ohio power plants for sale | $aep by '
 'how cold is it? pioneer says oil wells are frozen in texas, reports $pxd']",1.0,-1.0,-1.0
2015-01-07,48.0,49.310001373291016,46.83000183105469,48.650001525878906,460083,-0.6500015258789062,1,1,0.1614,0.0606,0.778,-0.18482,-1.0,-0.6003927231,[-0.99897385  0.99392408 -0.99946314 -0.9990772  -0.99837351],5.0,"[""oil's drop has been so fast that some forecasters no longer want to call a bottom | ""
 'ethanol is slowing the plunge in u.s. gasoline prices | by '
 ""drop in natural gas prices doesn't help nukes and coal plants already struggling for profit | by ""
 ""oil's drop eats into alaska savings by ""
 '. delays co2 rules for power plants until june | by ']",-1.0,-1.0,-1.0
2015-01-08,48.77999877929688,49.650001525878906,47.72999954223633,48.790000915527344,362081,-0.0100021362304687,1,1,0.1103333333333333,0.02825,0.8615,-0.1838833333333333,-0.8333333333333334,-0.6616917947833333,"[-0.99366319 -0.9987852  -0.99608237 -0.98515874 -0.99906605  0.99500197
 -0.99086201 -0.98314601 -0.99115515 -0.99698347  0.99658597 -0.99698728]",12.0,"['renowned oil trader andy hall calls $40/barrel an ""absolute price floor,"" reports | '
 ""every $10 drop in oil erases $2.8bln from exxon's annual cash flow | by ""
 ""texas oilman takes russia's gazprom into local court in effort to claim $1.37bln in damages | ""
 'environmental groups sue seeking chemicals disclosure | by '
 ""add natural gas prices to putin's long list of woes | by ""
 'could material named for 19th century russian count be key to next gen solar? '
 'oil taxes tempt recession-scarred u.s. states | by &amp; '
 'pemex is seeking 100k bbl/d of light crude from u.s. | by '
 'senate advances bill, setting up showdown with obama | by $trp'
 'investigating petrobras corruption scandal means combing through 100 terabytes of data | by '
 'pemex in talks on u.s. light crude imports to boost refining | by '
 'mexico oil firms cutting over 10,000 jobs on pemex reductions, city chamber says by and ']",-1.0,-1.0,-1.0
2015-01-09,48.91999816894531,49.61000061035156,47.15999984741211,48.36000061035156,421007,0.55999755859375,0,-1,0.0965999999999999,0.017,0.8864000000000001,-0.15908,-0.6,-0.5980526208800001,[-0.99697316  0.99520952 -0.99568754 -0.99589169 -0.99692023],5.0,"[""hedge fund that bet correctly on oil's drop last year says don't count on a rebound ""
 'nebraska court clears path through the state, sending project back to obama for a decision $trp'
 ""rt : oil companies can still borrow. but it'll cost them... $ren by ""
 'rt : how opec weaponized the price of oil against u.s. drillers '
 'oil slump slams mexico with cuts causing 10,000 job losses | by ']",-1.0,-1.0,-1.0
2015-01-12,48.18999862670898,48.18999862670898,45.619998931884766,46.06999969482422,394946,2.1199989318847656,0,-1,0.1635714285714285,0.087,0.7494285714285714,-0.1745285714285714,0.1428571428571428,0.1419665302714285,"[-0.99798691 -0.99638641  0.99880731 -0.99871075  0.99617034  0.99662519
  0.99524695]",7.0,"['oil falls as goldman cuts outlook amid 2 billion b/d supply glut. venezuela seeks recovery '
 'oil producers desperately hedging on price drop with opec standing pat by '
 'getting on the road again as drivers start 2015 with cheapest gas in six years '
 '$50 oil kills greenlanders dream of oil wealth, economic independence by '
 'exxon shrugs off crude oil collapse, advances $21 billion canadian liquefied natural gas project by '
 'argentina’s chubut province cuts oil royalty fee to boost output by $ypf'
 ""indian pm's solar ambitions advance with $4bln sunedison plant | $sune by ""]",-1.0,1.0,1.0
2015-01-13,45.68999862670898,46.790000915527344,44.20000076293945,45.88999938964844,476541,-0.2000007629394531,1,1,0.2313333333333333,0.0308888888888888,0.7377777777777779,-0.3847888888888889,-0.1111111111111111,-0.5541012088333334,"[-0.99911135 -0.99926788  0.99607533 -0.99392819 -0.99932456  0.99408555
 -0.99796921 -0.99453366 -0.99293691]",9.0,"['ruble rout exposes india’s steelmakers to russia threat '
 'oil free-fall continues as price drops below $45; u.s. stockpiles may speed collapse '
 'buy low. china imports record crude as price collapse spurs buying spree '
 'u.a.e. sees oil free-fall hurting u.s. shale drillers as opec weathers the storm; by and '
 'buffett trapped by oil plunge after bnsf commits to $500 million rail upgrade '
 'smallest u.s. oil production gain in nine months shows saudi shale strategy working; by '
 'cheap gas makes u.s. the only place where lng exports makes sense by '
 'rgentine oil provinces brace themselves for $45 crude | $ypf by @ pablo_rosendo'
 'argentine oil provinces brace themselves for $45 crude | $ypf by @ pablo_rosendo']",-1.0,-1.0,-1.0
2015-01-14,46.15999984741211,48.90999984741211,45.0099983215332,48.47999954223633,510252,-2.3199996948242188,1,1,0.1391666666666667,0.0368333333333333,0.824,-0.2116916666666667,-1.0,-0.3333114236666666,"[-0.99772316  0.99821305 -0.99742752  0.99849117 -0.9976173   0.99865615
  0.98274004 -0.99566036 -0.99721235 -0.99568379 -0.99829048 -0.99822253]",12.0,"['suncor cuts 1,000 jobs, spending as oil rout rattles canada by '
 'storage. the key to surviving carnage in the global oil market. via '
 'arctic explorers retreat from hostile waters with $50 a barrel oil by '
 'record oil imports take china closer than ever to passing the u.s. '
 'oil collapse of 1986 shows rebound could be years away by '
 'obama unveils plan to cut methane leaks from oil, gas industry by nearly half in 10 years. by '
 ""4 reasons warren buffett should fear oil's fall (and a few reasons he'll like it) by ""
 ""home prices in calgary drop on oil's decline | by "" 'brace for $40 oil '
 ""meet beto youssef, the rum-runner turned money launderer in petrobras' corruption scandal | ""
 'pacific rubiales tumbles as oil rout fans debt concern | by $prec cb'
 'gravy train derails for oil patch workers laid off as prices tumble via ']",-1.0,-1.0,-1.0
2015-01-15,48.59999847412109,51.27000045776367,46.06999969482422,46.25,478340,2.3499984741210938,0,-1,0.1744444444444444,0.0898888888888888,0.7356666666666667,-0.1915222222222222,-0.3333333333333333,-0.3321422206,"[ 0.99559754 -0.99865794 -0.99773932 -0.99744141  0.99777621 -0.99946064
 -0.99797779  0.99725807 -0.98863471]",9.0,"['iraq to double exports of kirkuk crude amid oil surplus by '
 'qatar, shell scrap $6.5 billion petrochemical project after oil’s drop by and '
 'opec sees weaker demand for its crude; says slumping prices to slow u.s. supply by grant smith '
 'russia plans data centers running on cheap siberian hydropower: energy '
 ""who's who of pemex alumni -- ready to profit from mexico oil opening | by ""
 'gravy train for oil patch workers derails as empty desks emerge in downturn by '
 'argentina may run out of fuel if ypf refinery strike continues | $ypf by '
 'venezuela’s maduro pledges opec coordination to calm oil prices | by '
 'big oil gets serious as $50 crude signals worst spending slump since 1986 by and ']",-1.0,-1.0,-1.0
2015-01-16,46.34999847412109,48.869998931884766,45.95000076293945,48.68999862670898,175626,-2.34000015258789,1,1,0.2955714285714285,0.0768571428571428,0.6275714285714286,-0.4334142857142857,0.1428571428571428,-0.4226942062285714,"[-0.96051592 -0.99945074 -0.99743086  0.98695314 -0.99222261 -0.99415863
  0.99796617]",7.0,"['welcome to ‘normal’ crude oil price, trading at 100-year average '
 'oil heads for longest weekly losing streak since 1986 '
 'iea sees oil-price recovery; cuts 2015 non-opec output estimate '
 'big picture. welcome to the ‘normal’ crude oil price, trading at 100-year average by '
 'schlumberger tackles crude collapse head on. cuts 9,000 jobs as slump portends uncertainty by '
 ""judge puts bp's top fine at $13.7 billion for gulf oil disaster; u.s. sought $18 billion ""
 'oil crash no obstacle for pemex as mexico plows ahead with bids | by ']",-1.0,-1.0,1.0
